Fecha,Circulacion monetaria,Depositos de EF en CC,Plazos fijos,Depositos en CA,Depositos en cuenta corriente,Tasa de inflacion,,
01/01/2000, 14.588.595 , - ,50975109,13792901, 10.150.444 ,0.8,,
01/02/2000, 13.988.872 , - ,51759508, 13.718.672 , 9.753.288 ,0,,
01/03/2000, 13.641.941 , - ,51829286, 13.888.970 , 9.980.836 ,-0.5,,
01/04/2000, 13.904.558 , - ,52277142, 13.616.720 , 9.569.138 ,-0.1,,
01/05/2000, 13.529.882 , - ,53063658, 13.484.312 , 10.687.922 ,-0.4,,
01/06/2000, 13.748.837 , - ,53327625, 14.184.965 , 10.766.455 ,-0.2,,
01/07/2000, 14.292.450 , - ,53864593, 13.837.098 , 10.218.789 ,0.4,,
01/08/2000, 13.636.974 , - ,54637078, 13.628.905 , 10.304.463 ,-0.2,,
01/09/2000, 13.567.795 , - ,55141299, 13.515.799 , 10.572.723 ,-0.2,,
01/10/2000, 13.355.082 , - ,54741545, 13.409.360 , 10.235.830 ,0.2,,
01/11/2000, 13.329.990 , - ,53832178, 13.513.409 , 9.850.343 ,-0.5,,
01/12/2000, 15.054.195 , - ,52989151, 13.445.823 , 10.245.507 ,-0.1,,
01/01/2001, 13.845.606 , - ,55030668, 13.670.649 , 9.629.735 ,0.1,,
01/02/2001, 13.690.019 , - ,54736785, 13.793.595 , 10.221.036 ,-0.2,,
01/03/2001, 13.554.016 , - ,52955118, 13.302.250 , 7.735.317 ,0.2,,
01/04/2001, 13.283.899 , - ,51913068, 12.187.374 , 10.208.556 ,0.7,,
01/05/2001, 12.978.508 , - ,53360614, 12.319.091 , 9.828.806 ,0.1,,
01/06/2001, 13.066.552 , 1.354.466 ,53190876, 12.798.629 , 9.313.122 ,-0.7,,
01/07/2001, 13.038.195 , 1.320.867 ,49027719, 12.196.149 , 8.494.719 ,-0.3,,
01/08/2001, 11.471.523 , 1.126.515 ,47937722, 11.450.158 , 7.766.174 ,-0.4,,
01/09/2001, 10.942.857 , 1.328.703 ,49203403, 11.448.270 , 7.875.094 ,-0.1,,
01/10/2001, 10.427.105 , 1.256.721 ,48464577, 10.428.554 , 7.252.357 ,-0.4,,
