Fecha,Circulacion monetaria,Depositos de EF en CC,Plazos fijos,Depositos en CA,Depositos en cuenta corriente,Tasa de inflacion,,
1/1/2000,14588595.00,0.00,50975109.00,13792901.00,10150444.00,0.80,,
1/2/2000,13988871.59,0.00,51759508.00,13718672.00,9753288.00,0.00,,
1/3/2000,13641941.12,0.00,51829286.00,13888970.00,9980836.00,-0.50,,
1/4/2000,13904558.06,0.00,52277142.00,13616720.00,9569138.00,-0.10,,
1/5/2000,13529881.64,0.00,53063658.00,13484312.00,10687922.00,-0.40,,
1/6/2000,13748837.23,0.00,53327625.00,14184965.00,10766455.00,-0.20,,
1/7/2000,14292449.98,0.00,53864593.00,13837098.00,10218789.00,0.40,,
1/8/2000,13636974.14,0.00,54637078.00,13628905.00,10304463.00,-0.20,,
1/9/2000,13567794.87,0.00,55141299.00,13515799.00,10572723.00,-0.20,,
1/10/2000,13355081.96,0.00,54741545.00,13409360.00,10235830.00,0.20,,
1/11/2000,13329990.38,0.00,53832178.00,13513409.00,9850343.00,-0.50,,
1/12/2000,15054195.37,0.00,52989151.00,13445823.00,10245507.00,-0.10,,
1/1/2001,13845606.38,0.00,55030668.00,13670649.00,9629735.00,0.10,,
1/2/2001,13690019.00,0.00,54736785.00,13793595.00,10221036.00,-0.20,,
1/3/2001,13554016.00,0.00,52955118.00,13302250.00,7735317.00,0.20,,
1/4/2001,13283899.00,0.00,51913068.00,12187374.00,10208556.00,0.70,,
1/5/2001,12978508.00,0.00,53360614.00,12319091.00,9828806.00,0.10,,
1/6/2001,13066552.00,1354466.00,53190876.00,12798629.00,9313122.00,-0.70,,
1/7/2001,13038195.00,1320867.00,49027719.00,12196149.00,8494719.00,-0.30,,
1/8/2001,11471523.00,1126515.00,47937722.00,11450158.00,7766174.00,-0.40,,
1/9/2001,10942857.00,1328703.00,49203403.00,11448270.00,7875094.00,-0.10,,
1/10/2001,10427105.00,1256721.00,48464577.00,10428554.00,7252357.00,-0.40,,
1/11/2001,10150664.00,867212.00,44916691.00,10661246.00,6524854.00,-0.30,,
1/12/2001,10959750.00,1021500.00,28721731.00,19072968.00,10341883.00,-0.10,,
1/1/2002,10960474.00,4393420.00,27675042.00,20205572.00,12084245.00,2.30,,
1/2/2002,12934642.00,7784157.00,32771035.00,18159973.00,12935758.00,3.10,,
1/3/2002,14032622.00,6429009.00,33295775.00,14039628.00,11520444.00,4.00,,
1/4/2002,14809909.00,6469135.00,28139609.00,12365195.00,11333337.00,10.40,,
